CNT,n,covered
MAC,4384,83.0
TUR,7250,80.5
VNM,6068,80.1
SGP,6606,79.1
KOR,6454,78.9
KAZ,19769,77.8
IRL,5569,77.4
TAP,5857,75.2
CRI,6113,73.3
MYS,7069,73.1
JPN,5760,71.4
MEX,6288,71.2
AUS,13437,71.0
MLT,3127,70.5
COL,7804,70.5
MDA,6235,70.1
THA,8495,69.7
USA,4552,68.8
ESP,30800,67.9
PRT,6793,67.6
GRC,6403,67.4
PHL,7193,66.4
IDN,13439,65.7
ARE,24600,65.5
HRV,6135,65.4
BRN,5576,65.4
ROU,7364,65.2
MNE,5793,64.6
SAU,6928,63.8
ITA,10552,63.8
EST,6392,63.7
SRB,6413,63.7
POL,6011,63.5
PRY,5084,63.4
HKG,5907,63.2
SVN,6721,62.7
NZL,4682,61.2
URY,6618,59.9
SLV,6705,59.8
MNG,6999,59.6
FRA,6770,59.6
SWE,6072,59.5
KSV,6027,59.0
PSE,7905,58.6
AUT,6151,58.4
GBR,12972,58.0
ISR,6251,57.5
CAN,23073,57.2
MKD,6610,56.4
JOR,7799,56.2
KHM,5279,56.1
CHL,6488,56.1
BRA,10798,55.9
LVA,5373,55.6
NOR,6611,55.1
QAT,7676,55.1
SVK,5824,55.0
CZE,8460,54.9
CHE,6829,54.8
ISL,3360,54.1
ALB,6129,53.8
HUN,6198,53.2
PER,6968,53.0
QUR,3876,52.6
LTU,7257,52.3
GTM,5190,51.8
ARG,12111,51.5
NLD,5046,51.2
DEU,6116,51.1
UZB,7293,50.9
MAR,6867,47.3
DNK,6200,46.1
FIN,10239,44.4
JAM,3873,44.4
BGR,6107,44.3
DOM,6868,34.4
QAZ,7720,33.8
PAN,4544,33.0
GEO,6583,31.5
BEL,8286,24.3
